,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
479,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169,https://en.wikipedia.org/wiki/Walmart
480,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1618921,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance
481,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1001039,https://en.wikipedia.org/wiki/The_Walt_Disney_Company
482,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",823768,https://en.wikipedia.org/wiki/Waste_Management_Inc.
483,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1000697,https://en.wikipedia.org/wiki/Waters_Corporation
484,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325,https://en.wikipedia.org/wiki/WEC_Energy_Group
485,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",72971,https://en.wikipedia.org/wiki/Wells_Fargo
486,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",766704,https://en.wikipedia.org/wiki/Welltower_Inc.
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",105770,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",106040,https://en.wikipedia.org/wiki/Western_Digital
489,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",1365135,https://en.wikipedia.org/wiki/Western_Union_Co
490,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",1636023,https://en.wikipedia.org/wiki/WestRock
491,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",106535,https://en.wikipedia.org/wiki/Weyerhaeuser
492,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640,https://en.wikipedia.org/wiki/Whirlpool_Corp.
493,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263,https://en.wikipedia.org/wiki/Williams_Cos.
494,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1140536,https://en.wikipedia.org/wiki/Willis_Towers_Watson
